name,experience,views,applications,description
Senior Python Developer,5,37,10,"Project is a rapidly growing robotics company that is revolutionising warehouse automation and eGroceries. They design solutions, based on autonomous mobile robots to automate e-commerce and retail warehouses, dramatically increasing both productivity and flexibility.We are currently seeking a talented Senior Software Engineer with exceptional Python skills to join software team.What You Will Be Doing:• Develop, design, and maintain functionality across backend systems including the APIs, core functionality and databases• Work with the frontend team integrating developing APIs and microservices for clients• Input into product architecture and product functionality• Work with the backend team on integration with the robot services• Support clients using our servicesWhat You Need:• Knowledge of a Python service development using asyncio, aiohttp, psycopg2 and Docker• Experience in using ORMs / SQL and accessing databases from Python, preferrably postgres• Proficient with Git• Experience writing tests using pytest, unittest etc.• Experience developing reliable production python code which runs 24/7• A problem solver who is quick-on-the-uptake• Understanding of how to write maintainable code and the importance of testing• Hands-on approach, interacting with robots and equipment.• Enjoy coming up with new features and ideas and contributing to the architectural direction of the platform• You need to be creative, enthusiastic and adaptable to changes• Excellent English language communication skills, both verbal and written, with the ability communicate effectively with a technical and non-technical audience.Qualifications and Skills:• 5+ years of Python development experience• Computer Science degree or equivalent work experience• Experience with automation software (GitHub actions or similar)• Experience in agile software development methodologiesWork Location: Remote in UK, Ireland, EU
      

About Quickstaffing LLC

    
      QuickStaffing is an outstaffing company collaborating with clients spread globally. We launched it in Armenia 2+ years ago, and now we have 30+ employees working with us from different countries. We have now 10+ reliable partners and 15+clients.
      

Company website:

      https://www.quickstaffing.co/





            Job posted on
            11 November 2023
            



            37 views

              

            
  

            10 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Senior Python Developer (short-term project),5,20,1,"Our customer is developing a complex system for the security and monitoring of the mining industry with extensive usage of AI and sensors placed on various equipment. They offer comprehensive hardware with 24/7 coverage and monitoring, with high requirements for the security and stability of the system. The system enhances productivity by optimizing maintenance strategies, streamlining mining operations with full site coverage, and significantly improving work safety.Currently, the client needs a person who'll cover building a real-time video analytics product. This is a short-term cooperation that will take approximately 1-1.5 mos.Requirements: - Proficiency in Python (over 5 years)- Strong understanding of Python programming language.- Ability to write clean, efficient, and maintainable code.- Strong testing skills, with a preference for experience using pytest.- Knowledge of testing methodologies and best practices.- Rest API architecture and design - Experience with MongoDB - Experience with FastAPI - Working with multiprocessing and real-time system- Independent in Terms of Creating Tasks and Working with Jira- Great Communication Skills and Team PlayerIt'd be another advantage once you have experience in video analytics pipelines (GPU, triton)
      

About Synergetica

    
      Synergetica is a software R&D experts community working together since the year of 2000. Our community grows delivering the next generation software to our customers worldwide. We are proud with the cutting edge software projects built by our teams which serve millions of consumers. Synergetica offers excellent work conditions and a lot of opportunities to grow professionally.
      

Company website:

      https://synergetica.ua/

DOU company page:

      https://jobs.dou.ua/companies/synergetica/





            Job posted on
            11 November 2023
            



            20 views

              

            
  

            1 application

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Senior Python Developer,5,50,4,"Position: Senior Python DeveloperResponsibilities:- Develop new functionality, ensuring thorough unit test coverage.- Communicate effectively with clients throughout the development process.- Web application development on cloud platforms.- Write clean, maintainable code.- Collaborate seamlessly within a team.Requirements:- Minimum 5 years of experience in Python development.- English Proficiency B2 level.- Mandatory: Python, Django, PostgreSQL, MySQL, AWS, FastAPI, SQLAlchemy, Docker, etc...- Implement AWS-based solutions with Lambda, SQS, DynamoDB, and other AWS services.- Write unit and integration tests for the developed code.- Set up and manage CI/CD via GitHub Actions.- Report and work hand-in-hand with the CTO.- Full-time work and only remote Additional Points:- Innovation Focus: Contribute to the development of cutting-edge solutions and technologies.- Problem-Solving: Proactively identify and troubleshoot issues, ensuring optimal project performance.- Client Collaboration: Engage with clients to understand their needs, providing technical expertise and solutions.- Continuous Learning: Embrace opportunities for skill development through participation in workshops and training sessions.- Agile Development: Experience working in an Agile/Scrum environment, adapting to changing project requirements.Conditions:- Salary: $4000-$5000 monthly.- 20 days of annual leave, 15 sick leave days.- Company-managed accounting for freelancers.- Access to educational courses on various technologies through platforms like Udemy.- Hiring Process: Successful candidates sign a contract with our company post-interview, followed by project placement. Additional interviews with clients may be required.- Remote work option.About the project: Customer from Israel, a project to develop the backend of a robotic delivery system of anything. The architecture of the project is ready, the main task is to develop the backend in the long term.About Future Proof Technology:Future Proof Technology is a software development company specializing in web and cloud solutions. Join us to be part of cutting-edge projects and a dynamic team driving innovation in the tech industry.
      

About Future Proof Technology

    
      Software development company with specialization in web and cloud solutions.
      

Company website:

      https://futureproof.technology

DOU company page:

      https://jobs.dou.ua/companies/future-proof-technology/





            Job posted on
            10 November 2023
            



            50 views

              

            
  

            4 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Senior Python Developer Competency Lead,3,23,4,"What are we doing?Develux is an IT consulting and software development company with products for the US market and outsourcing services worldwide. The company has been on the market since 2014 and has achieved perfect results in our four business units. We have 350+ goal-oriented, passionate specialists who are open to new challenges.We are looking for a highly skilled and experienced Senior Python Developer Competency Lead to join our dynamic team. What do you need to do?Write clean and well-structured code that is easy to read and maintain.Use version control to manage code changes and collaborate with other developers.Follow security best practices when handling sensitive data or user information.Use automated testing tools to ensure code quality and reduce the risk of bugs.Document your code and write clear and concise comments.Use modular design principles to make your code more flexible and reusable.Stay up-to-date with the latest industry trends and technologies.Use design patterns and best practices to make your application more maintainable and extensible.Technologies:Python 3.x, DRF, Django Channels, Redis, PostgreSQL, Elasticsearch, AWSWork experience:3+ years of commercial experience with Python 3;1+ years of experience with designing, implementing REST API (DRF, Fast API);Experience working with relational and NoSQL databases(PostgreSQL, MongoDB);Experience working on Linux, Docker;Clear understanding of high-quality code, unit testing, software design and design patterns;Exceptional problem-solving, technical and data analysis skills;Experience with Scrum/Agile methodology, CI/CD.Qualities: Star performer, Team player, Fast, Strong ownershipAdditional hard skills:Some experience with Elasticsearch;Experience with Kubernetes, Clouds(AWS/GCP)Questions and Answers:- Does the job come with a probation period, and if so, how long does it last?Yes, there is a three-month probation period.- What is the expected work schedule?Full-time, flexible, please start no later than 11:00 (on average 8 hours per day). The office in Kyiv is open from 9:00 to 20:00. You can work remotely and also you can choose hybrid mode where you can combine working on-site and remotely.- How many vacation and sick days are provided?Annual paid vacation – 21 working days; Paid confirmed sick leave; 6 unconfirmed sick days/days off a year.What social package and benefits are offered?- English courses (up to 80 USD/month after successful completion of the probation period)- Compensation for the cost of a subscription sports center (up to 80 USD/month after successful completion of the probation period)- Medical insurance (50% after successful completion of the probation period) or $200 a year for health care- Corporate eventsHiring process:- Screening call with recruiter and Hiring Manager +5 technical questions (45 minutes)- Technical interview with CTO (1 hour)- Soft skill interview with Head of Outsource- Trial day (paid)- Proposal for cooperation with DeveluxWe believe that people with different perspectives and lived experiences drive the company to create unique solutions.
      

About Develux

    
      We are an IT consulting and software product company with our own product service for the USA market, and outsourcing services throughout the world. Develux offers full-cycle custom software development services and provides the smartest solutions for our customers in the fields of e-commerce, fintech, automotive, healthcare, and logistics & supply chains.We believe that people with different perspectives and lived experiences drive the company to create unique solutions.
      

Company website:

      https://develux.com/

DOU company page:

      https://jobs.dou.ua/companies/ajtiservis-tov/





            Job posted on
            10 November 2023
            



            23 views

              

            
  

            4 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Junior/Middle Python Engineer,2,132,33,"We are looking for a Junior/Middle Python Engineer with experience or readiness to do QA work for a part-time (10-20h per week) outstaff project.Requirements:- 2+ years of experience with Python- Experience with QA- Familiarity with CLI - English level: Upper-IntermediateWe offer:- cooperation with a stable company with well-established processes and a positive atmosphere;- experience in project management of different levels of complexity, methodology, and approaches;- flexible schedule: Mon-Fri (8 hours a day);- 18 days of paid vacation; 15 days sick leave- a decent level of remuneration with regular reviews of the results of cooperation;- corporate library for self-development;- extensive loyalty program.
      

About Kozak Agency

    
      We are a rapidly expanding software development company with almost 40 talented developers specializing in web development, mobile development, and cloud-based solutions.Our firm expertise encompasses a wide range of contemporary web and mobile development tools. The most frequently demanding and widely used out of a list of our tech instruments are JavaScript and its modern frameworks, Node.js-based tools and frameworks, relational and non-relational databases, cloud computing platforms, mobile development languages and frameworks.As the company thriving to meet the most distinctive client necessities we are extremely flexible in terms of development and provide a broad spectrum of development services onwards from turn-key basis solutions to uniquely tailored client requests.Nowadays, in the comprehensive range of numerous industry fields, we have been attempting to diversify our portfolio with previously unexplored realms of activity.The list of fields we already possess rock-solid expertise includes finance, education, healthcare, marketplaces, social networks, legal services, real estate, logistics and transportation, energy and utilities, blockchain, and others.Throughout a period of our decently long journey, we as the company successfully developed and launched over 100 web products and brought unforgettable experience to plenty of end users.The geography of customers embraces a significant part of the world globe: US, UK, Israel, EU, Australia, Canada are amongst the most common ones.Kozak Agency company this is a friendly environment for professionals and also a great web development community.There is a cozy space where we can arrange our meetings and team buildings.We believe that a high level of communication is an important part of people's success and strong partnerships.Looking forward to hearing from your CV!Join our team and become a new part of our community.
      

Company website:

      https://kozak-ag.com/





            Job posted on
            10 November 2023
            



            132 views

              

            
  

            33 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Python Engineer (AI),1,245,42,"Привіт! 👋Ми шукаємо мотивованого та орієнтованого на результат Python Engineer, що стане частиною нашої команди та працюватиме над AI платформою, що формує повноцінні подорожі включно з проживанням, транспортацією та активностями на основі вподобань користувачів.Обовʼязки1. Написання АІ функціоналу системи рекомендацій для awayaway.com.2. Написання PoC, обробка ідей і пропозицій клієнта, Product Owner-а.3. Складання та підтримання актуальної технічної документації проєкту.Вимоги1. 1+ років комерційного досвіду з Python.2. Досвід з впровадженням АІ рішень в продукти, розуміння принципів роботи та можливостей/обмежень LLM.3. Досвід роботи з реляційними базами даних (PostgreSQL, MySQL).4. Відмінна письмова і розмовна англійська (від В2, передбачене спілкування з клієнтом).5. Здатність самостійно виконувати задачі та повноцінно підтримувати їх впродовж життєвого циклу.Буде плюсом1. Досвід з Fine-tuning комерційних або open-source моделей.2. Досвід менторингу.Ми пропонуємо- Навчання і менторинг тебе як спеціаліста.- Конкурентна компенсація з регулярними переглядами.- Можливість працювати віддалено та в зручний для тебе час.- Компенсація навчання, літератури, та англійської.- 20 оплачуваних буднів відпустки, 12 днів оплачуваних лікарняних на рік, 2 щомісячних оплачуваних менструальних лівів (для жінок).Якщо тобі сподобалася вакансія і ти вважаєш, що зможеш впоратися з описаними обов’язками, сміливо залишай відгук і ми будемо раді познайомитися з тобою на інтерв’ю 👋
      

About Softcery

    
      Ми створюємо та розгортаємо комплексні SaaS-платформи, надаючи послуги з дизайну та розробки програмного забезпечення, а також управління хмарною інфраструктурою. Прикладами продуктів, що ми створили, є:1. Eye4Fraud Rapid Checkout – https://eye4fraud.com/checkout2. AwayAway – https://awayaway.com3. Lemmy – https://lemmy.co4. ProperKey – https://properkey.co5. Bullseye – https://bullseye.so
      

Company website:

      https://softcery.com/

DOU company page:

      https://jobs.dou.ua/companies/softcery/





            Job posted on
            10 November 2023
            



            245 views

              

            
  

            42 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Computer Vision engineer,1,109,26,"DeepX is looking for a Computer Vision engineerCore requirements:* Python development experience* Knowledge of popular data processing libraries (numpy, pandas, scipy etc)* GIT, Linux, bashNice to have (or able to learn quickly):* Hands-on experience with popular Machine Learning frameworks (OpenCV, Pytorch, Tensorflow, Keras, Yolo)* Understanding of Computer Vision problem space* Machine Learning and Artificial Neural Networks fundamentals* Linux, Docker, gcc/make etc experience* C++ and C, creating Python C extensionsA bit about DeepX company:DeepX is an R&D intensive and innovation-driven consortium that provides Artificial Intelligence-powered Computer Vision solutions for businesses.Please, take a look to find out more about us https://deepxhub.com/We are a group of enthusiastic adherents who are passionate about the idea of improving this world’s safety by making Computer Vision technologies more advanced. Lifetime learning is our motto, we are admire ambition hard workers who are ready to face new challenges. If you feel like we might be on the same page, please, apply!
      

About Ethora (Dappros)

    
      Ethora is a ""super app"" platform for mobile and web.Dappros builds mobile apps and token economy / DeFi solutions.We are a product company with a globally distributed team. Our products:* Ethora engine: https://ethora.com/ (open-source)* Dappros Platform: https://www.dappros.com/ (SaaS)Size: under 20Startup stage: Achieved early product-market fit and entering growth stage.Technology stack:* React Native* Node.js* AWS & Linux Ubuntu, CentOS* Erlang & XMPP* Ethereum & Solidity* MongoDB, Cassandra, MySQLThe future of world economy and human interaction tech is built here - contact us to find if we fit each other.
      

Company website:

      https://www.ethora.com





            Job posted on
            10 November 2023
            



            109 views

              

            
  

            26 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
PySpark Engineer,3,27,4,"Project descriptionWe are seeking a talented PySpark Engineer for part-time cooperation to enhance our data engineering team. This role is ideal for someone who enjoys a fast-paced, technology-driven environment and is eager to work with advanced data processing technologies.The client, a pioneer in Lived Experience, is leveraging the power of big data to innovate and transform our field. Job Description:As a PySpark Engineer, you will be instrumental in the development and optimization of our big data solutions. Your primary responsibility will be to build scalable and efficient data processing pipelines using PySpark. Experience with Apache Hudi is a significant plus, as it will be beneficial in managing data storage and ensuring data consistency and reliability. Key Responsibilities:Develop, maintain, and optimize PySpark code for high-performance data processing.Design and implement robust data pipelines for data ingestion, processing, and distribution.Utilize Apache Hudi for efficient data storage management (experience with Hudi is a huge plus).Collaborate with data scientists and architects to integrate big data solutions aligned with business objectives.Analyze and improve efficiency, scalability, and stability of various deployed data systems.RequirementsProven expertise in PySpark and big data technologies.Strong knowledge of data modeling, data warehousing, and ETL pipeline construction. Experience with AWS and their data services (EMR, EKS, MSK, S3, etc).Proficient in problem-solving and attention to detail. Excellent communication and teamwork skills.Significant experience with Apache Hudi is highly desirable.Preferred skills: Familiarity with other big data tools (Hadoop, Kafka, etc.). Proficiency in Python, SQL, and other scripting languages. Industry-specific experience relevant to our business.
      

About GeeksForLess

    
      Our company has come a long way from the small projects implementation to the level of established trust relationships with the world's IT Leaders. We are proud of our highly professional teams of developers located in in Mykolaiv, Lviv, Kyiv(Ukraine), Krakow (Poland) and Clark Freeport Zone, Angeles City, Philippines.
      

Company website:

      http://geeksforless.com

DOU company page:

      https://jobs.dou.ua/companies/geeksforless/





            Job posted on
            10 November 2023
            



            27 views

              

            
  

            4 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Developer (f/m/d) with Python knowledge and interest in machine learning,3,50,6,"Developer (f/m/d) with Python knowledge and interest in machine learningFor a research project in the field of big data and machine learning we are looking for a technically skilled developer to join our growing team. The funded project is concerned with the analysis and optimization of flight plan and air traffic data with the aim of developing an improved, digital forecasting model for innovative air traffic processes.What you can expect• Development of a machine learning application with ML tools (including TensorFlow)• Interesting, international project partners from the aviation industry (Eurocontrol, DFS, DWD, SAAB, Human Factors Consult)Requirements• Completed Bachelor’s or Master’s degree in Computer Science or Business Informatics• Open-minded analytical thinking• Extensive development knowledge with Python or other programming languages
      

About Flexyti

    
      Flexyti - ми невелика компанія сімейного типу. У нас немає бюрократії.  Основний офіс знаходиться у місті Харків. На разі всі працюємо віддалено.
      

Company website:

      http://Flexyti.com





            Job posted on
            10 November 2023
            



            50 views

              

            
  

            6 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Developer (f/m/d) with Python knowledge and interest in machine learning,5,23,3,"Developer (f/m/d) with Python knowledge and interest in machine learningFor a research project in the field of big data and machine learning we are looking for a technically skilled developer to join our growing team. The funded project is concerned with the analysis and optimization of flight plan and air traffic data with the aim of developing an improved, digital forecasting model for innovative air traffic processes.What you can expect• Development of a machine learning application with ML tools (including TensorFlow)• Interesting, international project partners from the aviation industry (Eurocontrol, DFS, DWD, SAAB, Human Factors Consult)Requirements• Completed Bachelor’s or Master’s degree in Computer Science or Business Informatics• Open-minded analytical thinking• Extensive development knowledge with Python or other programming languages
      

About Flexyti

    
      Flexyti - ми невелика компанія сімейного типу. У нас немає бюрократії.  Основний офіс знаходиться у місті Харків. На разі всі працюємо віддалено.
      

Company website:

      http://Flexyti.com





            Job posted on
            10 November 2023
            



            23 views

              

            
  

            3 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
